Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2500.00,6.10,7.20,5.60,6.45,6.65,6.45,1338.00,6706.63,16.63,771200.00,-400.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2040.00,-,-,-,762.30,-,254.00,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2520.00,5.40,5.65,4.55,5.10,5.05,5.10,150.00,757.48,1.48,62000.00,1400.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,3200.00,0.80,0.80,0.65,0.65,0.65,0.05,3.00,19.20,-,9200.00,-,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2060.00,-,-,-,427.90,-,234.80,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2080.00,-,-,-,893.15,-,215.90,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2540.00,4.45,4.45,3.70,4.10,4.10,4.10,272.00,1383.93,2.17,84400.00,39600.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2560.00,3.65,3.80,3.00,3.40,3.40,3.40,78.00,399.88,0.52,23600.00,400.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2100.00,-,-,-,203.00,203.00,197.35,-,-,-,11400.00,-,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2120.00,-,-,-,163.70,163.70,179.30,-,-,-,2400.00,-,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2140.00,160.45,163.70,160.45,163.70,163.70,161.75,3.00,13.81,0.97,3600.00,200.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2580.00,2.50,2.85,2.45,2.75,2.75,2.75,20.00,103.30,0.10,7400.00,1600.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2600.00,2.50,2.65,1.85,2.00,2.00,2.00,687.00,3575.24,2.84,454600.00,55000.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2160.00,-,-,-,147.15,147.15,144.85,-,-,-,8400.00,-,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2620.00,1.65,1.65,1.45,1.60,1.60,0.80,20.00,104.86,0.06,68600.00,-2400.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2180.00,137.00,137.00,130.75,131.75,133.55,131.75,9.00,41.64,2.40,11400.00,400.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2200.00,120.00,124.00,109.25,116.90,119.00,116.90,83.00,384.61,19.41,57200.00,-800.00,2281.35
ASIANPAINT,31-Dec-2024,30-Jan-2025,CE,2640.00,1.60,1.95,1.30,1.45,1.35,1.45,16.00,84.53,0.05,23800.00,-1000.00,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2180.00,-,-,-,158.55,-,153.30,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2200.00,-,-,-,323.40,-,139.20,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2220.00,-,-,-,133.70,-,125.80,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2240.00,-,-,-,291.85,-,113.20,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2260.00,-,-,-,111.45,-,101.35,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2280.00,98.55,98.55,95.00,95.00,95.00,90.35,2.00,9.51,0.39,200.00,200.00,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2300.00,86.00,86.00,80.00,82.40,82.40,80.15,15.00,71.48,2.48,10000.00,200.00,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2320.00,-,-,-,233.50,-,70.75,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2340.00,-,-,-,74.75,-,62.15,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2360.00,-,-,-,207.05,-,54.35,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2380.00,-,-,-,60.15,-,47.25,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2400.00,41.90,43.00,39.00,42.00,42.00,42.00,29.00,141.59,2.39,15600.00,4000.00,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2420.00,-,-,-,47.80,-,35.20,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2440.00,-,-,-,159.80,-,30.15,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2460.00,-,-,-,37.65,-,25.70,-,-,-,-,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2480.00,-,-,-,21.60,21.60,21.80,-,-,-,200.00,-,2281.35
ASIANPAINT,31-Dec-2024,27-Feb-2025,CE,2500.00,20.35,21.00,19.00,20.00,20.00,18.40,52.00,262.02,2.02,10200.00,10200.00,2281.35
