Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,2560.00,-,-,-,390.25,-,397.15,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,2600.00,-,-,-,300.00,300.00,361.25,-,-,-,1800.00,-,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,2640.00,-,-,-,325.15,-,326.50,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,2660.00,-,-,-,279.80,-,309.60,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,2680.00,-,-,-,294.60,-,293.05,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,3080.00,-,-,-,79.45,-,92.10,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,3060.00,-,-,-,59.10,-,70.65,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,2860.00,-,-,-,142.95,-,164.05,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,3100.00,55.00,55.00,55.00,55.00,55.00,58.15,1.00,6.31,0.11,200.00,200.00,2876.60
ASIANPAINT,28-Jun-2024,29-Aug-2024,CE,2740.00,-,-,-,219.20,-,245.85,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2780.00,172.35,182.10,164.85,165.60,166.80,165.60,13.00,76.74,4.46,2200.00,1600.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3020.00,28.60,42.55,28.35,33.95,34.60,33.95,454.00,2774.53,32.37,37200.00,20800.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3300.00,4.65,5.75,4.35,4.75,4.70,4.75,902.00,5962.31,9.11,84000.00,32000.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2480.00,-,-,-,436.50,-,450.35,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2800.00,125.00,170.00,125.00,149.60,150.25,149.60,375.00,2210.94,110.94,65200.00,-11000.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3040.00,24.70,36.55,24.65,29.60,29.85,29.60,476.00,2923.64,29.56,34000.00,12800.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3320.00,-,-,-,21.20,-,2.10,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2520.00,-,-,-,401.05,-,410.85,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3060.00,21.25,31.25,21.25,25.40,25.60,25.40,450.00,2777.73,23.73,37200.00,4000.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3340.00,0.20,8.00,0.20,8.00,8.00,1.65,7.00,46.78,0.02,1400.00,1400.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2560.00,-,-,-,366.60,-,371.60,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2820.00,111.55,149.55,111.55,142.25,142.25,142.65,12.00,70.88,3.20,6200.00,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3360.00,3.90,3.90,3.90,3.90,3.90,1.30,3.00,20.18,0.02,600.00,600.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3380.00,-,-,-,7.40,-,1.00,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2840.00,102.85,138.05,102.00,121.00,121.10,121.00,209.00,1237.67,50.55,14400.00,-9200.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3080.00,19.30,26.55,19.30,21.55,21.55,24.85,41.00,254.45,1.89,4800.00,4800.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3400.00,3.50,3.50,2.35,2.70,2.65,2.70,242.00,1646.95,1.35,28600.00,14000.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2600.00,-,-,-,280.90,281.00,332.85,-,-,-,7200.00,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2860.00,88.95,124.15,88.95,106.65,108.20,106.65,414.00,2454.91,86.83,38000.00,-9200.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3100.00,14.60,23.10,14.00,18.70,18.95,18.70,3737.00,23314.95,145.55,317600.00,45000.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3420.00,2.50,2.50,2.45,2.45,2.45,0.60,2.00,13.69,0.01,600.00,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2620.00,-,-,-,309.35,-,313.70,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2880.00,75.10,110.45,75.00,93.70,94.50,93.70,785.00,4668.07,146.47,32600.00,-14600.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3120.00,13.95,19.65,13.95,16.15,16.20,16.15,166.00,1041.38,5.54,18800.00,2600.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2640.00,-,-,-,301.45,-,294.80,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3140.00,13.00,16.90,12.70,13.80,14.30,13.80,69.00,435.29,1.97,8800.00,4000.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2660.00,-,-,-,276.00,-,276.15,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2900.00,61.05,97.95,61.00,82.15,83.35,82.15,9304.00,55543.72,1580.52,397400.00,-42400.00,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2680.00,-,-,-,197.70,197.70,257.80,-,-,-,400.00,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,2920.00,54.00,86.30,54.00,71.95,72.10,71.95,2788.00,16699.36,417.44,75600.00,48000.00,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2480.00,-,-,-,456.80,-,489.95,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2560.00,-,-,-,387.00,-,418.55,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2640.00,-,-,-,321.75,-,351.20,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2680.00,-,-,-,291.20,-,319.40,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2960.00,-,-,-,124.40,-,141.75,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2720.00,-,-,-,262.25,-,289.00,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2760.00,-,-,-,234.70,-,260.20,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,3280.00,-,-,-,33.75,-,40.25,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,3640.00,-,-,-,-,-,-,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2880.00,-,-,-,163.10,-,183.70,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,3120.00,-,-,-,67.65,-,78.90,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2920.00,-,-,-,142.85,-,161.80,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,3200.00,-,-,-,48.35,-,57.05,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,3000.00,-,-,-,107.75,-,123.45,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,3040.00,-,-,-,92.80,-,106.95,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2800.00,-,-,-,209.05,-,232.90,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,26-Sep-2024,CE,2840.00,-,-,-,185.20,-,207.40,-,-,-,-,-,2876.60
ASIANPAINT,28-Jun-2024,25-Jul-2024,CE,3160.00,12.00,14.65,12.00,12.05,12.05,11.95,11.00,69.82,0.30,2000.00,2000.00,2876.60
