Date,close,high,low,open,volume,symbol
2019-01-01,1295.010986328125,1302.7060850827604,1282.7835892041808,1296.5688162180006,664707,ASIANPAINT
2019-01-02,1306.1053466796875,1309.457170691136,1285.6162404232591,1290.7149178688235,1233780,ASIANPAINT
2019-01-03,1310.8262939453125,1316.066508356997,1301.101036898593,1304.6890249033381,1636293,ASIANPAINT
2019-01-04,1308.5128173828125,1323.1950979766605,1304.311195094899,1310.542859994241,1202397,ASIANPAINT
2019-01-07,1318.0966796875,1326.9721388344608,1306.5302869037093,1308.6547263946097,1074373,ASIANPAINT
2019-01-08,1323.0538330078125,1333.8648244695084,1317.6247093398053,1322.8177841526817,1232440,ASIANPAINT
2019-01-09,1323.7615966796875,1335.0919384487006,1319.1822732663509,1324.2336942533964,973687,ASIANPAINT
2019-01-10,1318.427001953125,1321.8733376350294,1311.1567446994156,1312.4313852233506,1004783,ASIANPAINT
2019-01-11,1325.3197021484375,1327.727330910867,1314.6975054542195,1321.6373175761332,473391,ASIANPAINT
2019-01-14,1311.109375,1331.8816685021864,1308.1351371969108,1325.65000350317,1360800,ASIANPAINT
2019-01-15,1327.4912109375,1335.516870231818,1311.1094470766209,1311.1094470766209,1355920,ASIANPAINT
2019-01-16,1312.1951904296875,1334.100471484509,1310.2595442973532,1331.3151419362182,1189597,ASIANPAINT
2019-01-17,1312.0537109375,1320.4570718075815,1306.5774475815333,1312.4314120933418,853829,ASIANPAINT
2019-01-18,1322.2982177734375,1326.3583035315974,1305.8220564400776,1313.3756185886825,1092189,ASIANPAINT
2019-01-21,1342.739990234375,1345.2893864660662,1317.3411159364125,1317.3411159364125,2513582,ASIANPAINT
2019-01-22,1328.4354248046875,1352.1348171425932,1298.504482295878,1344.439603012449,5483768,ASIANPAINT
2019-01-23,1318.6158447265625,1349.6797744130267,1312.4313201005057,1349.2549326788653,2702265,ASIANPAINT
2019-01-24,1323.6201171875,1334.6200151428668,1318.5686955408655,1321.8733789883363,1562800,ASIANPAINT
2019-01-25,1295.577392578125,1334.8086317377686,1277.779337128453,1329.8044666191083,1613548,ASIANPAINT
2019-01-28,1302.5172119140625,1313.3754561598123,1290.5731201920985,1298.2683337309431,1590764,ASIANPAINT
2019-01-29,1315.54736328125,1321.8734257153155,1296.5689454626217,1300.1569337214212,1061762,ASIANPAINT
2019-01-30,1312.808837890625,1337.7356105911038,1295.5300221444036,1316.2079170638299,1313152,ASIANPAINT
2019-01-31,1333.77001953125,1336.0361108981933,1313.4226836049966,1321.873183927541,1256050,ASIANPAINT
2019-02-01,1375.881103515625,1387.6364020918675,1329.615541937718,1333.5812306564555,2077539,ASIANPAINT
2019-02-04,1365.6365966796875,1371.7267243939202,1353.9758099317053,1363.417761186459,735159,ASIANPAINT
2019-02-05,1369.4132080078125,1385.0396815072536,1362.5677941937806,1364.3145319084838,786962,ASIANPAINT
2019-02-06,1387.400390625,1393.8208485556254,1371.254676446815,1376.4948904278917,1088914,ASIANPAINT
2019-02-07,1390.2802734375,1394.3876150515207,1375.692502679835,1385.1817112072322,697412,ASIANPAINT
2019-02-08,1367.9498291015625,1397.4086684411013,1364.3618418225617,1386.0783278861734,1018518,ASIANPAINT
2019-02-11,1356.90283203125,1375.9756432867005,1347.3664840326237,1367.1001857922392,728051,ASIANPAINT
2019-02-12,1371.065673828125,1375.5978563855178,1355.1560095356242,1358.224643593099,947583,ASIANPAINT
2019-02-14,1321.1180419921875,1343.7315889986664,1318.568760738515,1338.5385147530083,915441,ASIANPAINT
2019-02-15,1315.830322265625,1326.5469140384341,1295.53012678319,1322.6285964193112,1113223,ASIANPAINT
2019-02-18,1303.03662109375,1323.4783547982377,1269.9425335039898,1323.4783547982377,1460282,ASIANPAINT
2019-02-19,1300.9593505859375,1318.993456094356,1294.4916364314838,1295.4830875079626,697530,ASIANPAINT
2019-02-20,1318.946533203125,1320.7405274547755,1299.2128269514187,1302.9896084251147,843469,ASIANPAINT
2019-02-21,1319.7958984375,1329.284989617371,1312.714435501095,1320.9288864040504,677142,ASIANPAINT
2019-02-22,1319.7958984375,1329.1905931631893,1306.9547534396038,1320.9288864040504,801380,ASIANPAINT
2019-02-25,1320.220947265625,1327.3496671767773,1313.7059772902346,1321.8260330131222,711217,ASIANPAINT
2019-02-26,1323.7615966796875,1328.4825724167763,1301.6674071784728,1318.9462244794963,1147218,ASIANPAINT
2019-02-27,1327.255126953125,1351.0016589343866,1317.1522845654733,1325.6500412400892,1462017,ASIANPAINT
2019-02-28,1326.783203125,1336.0363632636106,1323.242470713524,1335.8475703049517,1230935,ASIANPAINT
2019-03-01,1314.6500244140625,1338.8213959220695,1310.6371952391214,1330.37089588047,783876,ASIANPAINT
