,Date,vix
0,2019-01-01,15.329999923706055
1,2019-01-02,16.389999389648438
2,2019-01-03,16.790000915527344
3,2019-01-04,16.15999984741211
4,2019-01-07,16.299999237060547
5,2019-01-08,15.699999809265137
6,2019-01-09,15.270000457763672
7,2019-01-10,15.350000381469727
8,2019-01-11,15.350000381469727
9,2019-01-14,16.15999984741211
10,2019-01-15,15.579999923706055
11,2019-01-16,16.079999923706055
12,2019-01-17,16.239999771118164
13,2019-01-18,16.6200008392334
14,2019-01-21,18.149999618530273
15,2019-01-22,17.989999771118164
16,2019-01-23,18.09000015258789
17,2019-01-24,17.43000030517578
18,2019-01-25,17.690000534057617
19,2019-01-28,18.899999618530273
20,2019-01-29,18.43000030517578
21,2019-01-30,17.850000381469727
22,2019-01-31,17.1200008392334
23,2019-02-01,15.720000267028809
24,2019-02-04,15.720000267028809
25,2019-02-05,15.779999732971191
26,2019-02-06,15.630000114440918
27,2019-02-07,15.4399995803833
28,2019-02-08,15.569999694824219
29,2019-02-11,15.84000015258789
30,2019-02-12,15.75
31,2019-02-14,15.770000457763672
32,2019-02-15,16.459999084472656
33,2019-02-18,18.0
34,2019-02-19,18.469999313354492
35,2019-02-20,17.059999465942383
36,2019-02-21,16.049999237060547
37,2019-02-22,15.449999809265137
38,2019-02-25,15.359999656677246
39,2019-02-26,17.110000610351562
40,2019-02-27,18.899999618530273
41,2019-02-28,18.280000686645508
42,2019-03-01,16.270000457763672
43,2019-03-05,15.65999984741211
44,2019-03-06,15.609999656677246
45,2019-03-07,15.289999961853027
46,2019-03-08,14.9399995803833
47,2019-03-11,14.899999618530273
48,2019-03-12,15.100000381469727
49,2019-03-13,15.279999732971191
50,2019-03-14,15.149999618530273
51,2019-03-15,15.869999885559082
52,2019-03-18,16.899999618530273
53,2019-03-19,16.489999771118164
54,2019-03-20,16.030000686645508
55,2019-03-22,16.270000457763672
56,2019-03-25,16.670000076293945
57,2019-03-26,16.489999771118164
58,2019-03-27,17.049999237060547
59,2019-03-28,16.649999618530273
60,2019-04-01,18.010000228881836
