Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2680.00,4.00,4.00,2.95,3.05,3.05,1.75,20.00,134.16,0.16,9500.00,500.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2480.00,20.15,27.00,15.50,16.90,17.00,16.90,367.00,2292.57,17.17,128250.00,23500.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2360.00,59.95,79.40,51.50,55.80,57.00,55.80,2305.00,13940.66,341.16,194250.00,99000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2080.00,-,-,-,290.00,290.00,281.05,-,-,-,250.00,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2620.00,6.00,6.00,4.50,4.70,4.70,4.00,20.00,131.25,0.25,23000.00,1000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2140.00,-,-,-,375.50,-,224.25,-,-,-,-,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2400.00,41.50,57.50,35.15,38.35,38.95,38.35,4167.00,25462.83,460.83,416000.00,93250.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2540.00,11.45,14.75,8.60,9.25,9.40,9.25,234.00,1491.96,6.06,115000.00,12000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2760.00,1.95,2.20,1.75,1.75,1.75,0.50,10.00,69.05,0.05,13000.00,500.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2300.00,95.70,120.40,85.35,91.75,91.50,91.75,497.00,2976.20,118.45,74750.00,45000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2780.00,-,-,-,2.15,2.15,0.40,-,-,-,5750.00,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2240.00,-,-,-,229.55,-,138.50,-,-,-,-,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2420.00,34.95,47.75,28.90,31.30,32.00,31.30,713.00,4375.99,62.34,69750.00,2250.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2500.00,15.95,22.25,12.75,13.85,14.05,13.85,2617.00,16461.79,105.54,667500.00,72750.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2800.00,2.15,2.15,1.50,1.65,1.75,1.65,113.00,791.48,0.48,45000.00,9750.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2340.00,79.95,92.30,61.60,66.60,68.00,66.60,771.00,4643.59,133.24,46500.00,25000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2700.00,3.75,3.95,2.70,2.80,2.75,2.80,324.00,2189.38,2.38,277500.00,15500.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2320.00,90.40,90.40,72.90,78.15,78.55,78.15,82.00,491.55,15.95,25750.00,-250.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2720.00,2.90,2.90,2.40,2.45,2.45,2.45,15.00,102.10,0.10,11000.00,-2000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2180.00,-,-,-,338.60,-,188.20,-,-,-,-,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2440.00,31.90,39.70,23.40,25.45,25.90,25.45,906.00,5590.55,63.95,144500.00,14250.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2120.00,-,-,-,324.25,-,242.90,-,-,-,-,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2640.00,5.85,5.85,3.90,4.10,4.10,4.10,59.00,390.04,0.64,27750.00,2000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2840.00,-,-,-,1.55,1.55,0.15,-,-,-,7250.00,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2460.00,24.95,32.85,18.95,20.70,21.00,20.70,870.00,5400.94,50.44,132000.00,10000.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2740.00,-,-,-,2.30,2.30,0.70,-,-,-,4250.00,-,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2200.00,203.00,203.00,165.00,166.95,166.95,170.95,19.00,113.49,8.99,14500.00,1250.00,2350.00
ASIANPAINT,30-Sep-2025,28-Oct-2025,CE,2520.00,14.45,18.25,10.50,11.25,11.50,11.25,207.00,1310.52,6.42,102000.00,11500.00,2350.00
